excessive K load,diet,high-K diet
excessive K load,drugs,IV penicillin
transcellular shifts,cell injury,rhabdomyolysis
transcellular shifts,drugs,beta-blockers
transcellular shifts,drugs,digoxin
transcellular shifts,drugs,anaesthetic agents
transcellular shifts,drugs,mannitol
renal impairment,renal impairment,AKI / CKD
defective aldosterone signalling,impaired renin secretion,DM
defective aldosterone signalling,impaired renin secretion,beta-blockers
defective aldosterone signalling,impaired renin secretion,NSAIDS
defective aldosterone signalling,impaired AngII signalling,ACEi
defective aldosterone signalling,impaired AngII signalling,ARBs
defective aldosterone signalling,impaired aldosterone synthesis,Addison's
defective aldosterone signalling,impaired aldosterone synthesis,heparins
defective aldosterone signalling,impaired aldosterone synthesis,ketoconazole
defective aldosterone signalling,impaired MR activation,PHAI
defective aldosterone signalling,impaired MR activation,spironolactone / eplerenone
defective electrogenic Na transport,ENaC blockade,PHAI
defective electrogenic Na transport,ENaC blockade,amiloride / triamterine
defective electrogenic Na transport,ENaC blockade,trimethoprim
defective electrogenic Na transport,ENaC blockade,pentamidine
defective electrogenic Na transport,ENaC blockade,lithium
defective electrogenic Na transport,NCC activation,PHAII
defective electrogenic Na transport,NCC activation,CNIs
